p_i,p_m,diff_p^(n-2),dp^(n-1),diff_p^(n-1),dp^(n),diff_p^(n),target
1.12201845430196,454771.74183618795,556252.495417809,1.0566547757147216,552448.538225236,1.0195442429080463,548778.178950767,0.9860891074874962
1.12201845430196,458212.35538033705,552448.538225236,1.0195442429080463,548778.178950767,0.9860891074874962,545228.2581638121,0.9557259844858588
1.12201845430196,461553.177130275,548778.178950767,0.9860891074874962,545228.2581638121,0.9557259844858588,541787.644619663,0.9280060416494315
1.12201845430196,464802.417200789,545228.2581638121,0.9557259844858588,541787.644619663,0.9280060416494315,538446.8228697251,0.9025666862538815
1.12201845430196,467967.21810545604,541787.644619663,0.9280060416494315,538446.8228697251,0.9025666862538815,535197.582799211,0.8791113624075175
1.12201845430196,471053.83955918206,538446.8228697251,0.9025666862538815,535197.582799211,0.8791113624075175,532032.7818945439,0.8573948482572289
1.12201845430196,474067.804078867,535197.582799211,0.8791113624075175,532032.7818945439,0.8573948482572289,528946.1604408179,0.8372123665791554
1.12201845430196,477014.01309091103,532032.7818945439,0.8573948482572289,528946.1604408179,0.8372123665791554,525932.195921133,0.8183913922344477
1.12201845430196,479896.840534422,528946.1604408179,0.8372123665791554,525932.195921133,0.8183913922344477,522985.98690908897,0.8007854009752757
1.12201845430196,482720.209072237,525932.195921133,0.8183913922344477,522985.98690908897,0.8007854009752757,520103.159465578,0.7842690382819435
1.12201845430196,485487.65270360897,522985.98690908897,0.8007854009752757,520103.159465578,0.7842690382819435,517279.790927763,0.7687343420477636
1.12201845430196,488202.36863150296,520103.159465578,0.7842690382819435,517279.790927763,0.7687343420477636,514512.34729639103,0.7540877577483318
1.12201845430196,490867.260555973,517279.790927763,0.7687343420477636,514512.34729639103,0.7540877577483318,511797.63136849704,0.7402477567972285
1.12201845430196,493484.97506474896,514512.34729639103,0.7540877577483318,511797.63136849704,0.7402477567972285,509132.739444027,0.7271429191044364
1.12201845430196,496057.93242037704,511797.63136849704,0.7402477567972285,509132.739444027,0.7271429191044364,506515.02493525104,0.7147103765633559
1.12201845430196,498588.35276369797,509132.739444027,0.7271429191044364,506515.02493525104,0.7147103765633559,503942.06757962296,0.7028945398113703
1.12201845430196,501078.278541136,506515.02493525104,0.7147103765633559,503942.06757962296,0.7028945398113703,501411.64723630203,0.6916460492883441
1.12201845430196,503529.59380032297,503942.06757962296,0.7028945398113703,501411.64723630203,0.6916460492883441,498921.721458864,0.6809209053297107
1.12201845430196,505944.040872489,501411.64723630203,0.6916460492883441,498921.721458864,0.6809209053297107,496470.40619967703,0.6706797422683384
1.12201845430196,508323.23486155295,498921.721458864,0.6809209053297107,496470.40619967703,0.6706797422683384,494055.959127511,0.6608872191844339
1.12201845430196,510668.676282344,496470.40619967703,0.6706797422683384,494055.959127511,0.6608872191844339,491676.76513844705,0.6515115057752863
1.12201845430196,512981.762128934,494055.959127511,0.6608872191844339,491676.76513844705,0.6515115057752863,489331.323717656,0.6425238462749985
1.12201845430196,515263.795604982,491676.76513844705,0.6515115057752863,489331.323717656,0.6425238462749985,487018.237871066,0.6338981877911202
1.12201845430196,517515.994708554,489331.323717656,0.6425238462749985,487018.237871066,0.6338981877911202,484736.204395018,0.6256108621033329
1.12201845430196,519739.499831972,487018.237871066,0.6338981877911202,484736.204395018,0.6256108621033329,482484.005291446,0.6176403120605554
1.12201845430196,521935.380511321,484736.204395018,0.6256108621033329,482484.005291446,0.6176403120605554,480260.500168028,0.6099668553747243
1.12201845430196,524104.641438965,482484.005291446,0.6176403120605554,480260.500168028,0.6099668553747243,478064.619488679,0.6025724799011045
1.12201845430196,526248.227835025,480260.500168028,0.6099668553747243,478064.619488679,0.6025724799011045,475895.358561035,0.5954406655722414
1.12201845430196,528367.030259304,478064.619488679,0.6025724799011045,475895.358561035,0.5954406655722414,473751.77216497494,0.5885562289663681
1.12201845430196,530461.8889331811,475895.358561035,0.5954406655722414,473751.77216497494,0.5885562289663681,471632.969740696,0.5819051871880786
1.12201845430196,532533.5976309921,473751.77216497494,0.5885562289663681,471632.969740696,0.5819051871880786,469538.11106681894,0.5754746382808339
1.12201845430196,534582.90719208,471632.969740696,0.5819051871880786,469538.11106681894,0.5754746382808339,467466.40236900793,0.569252655857773
1.12201845430196,536610.528697614,469538.11106681894,0.5754746382808339,467466.40236900793,0.569252655857773,465417.09280791995,0.5632281959816464
1.12201845430196,538617.1363503679,467466.40236900793,0.569252655857773,465417.09280791995,0.5632281959816464,463389.471302386,0.5573910146538724
1.12201845430196,540603.370090596,465417.09280791995,0.5632281959816464,463389.471302386,0.5573910146538724,461382.8636496321,0.5517315945078088
1.12201845430196,542569.837976865,463389.471302386,0.5573910146538724,461382.8636496321,0.5517315945078088,459396.629909404,0.54624107951916
1.12201845430196,544517.11835706,461382.8636496321,0.5517315945078088,459396.629909404,0.54624107951916,457430.162023135,0.5409112167208352
1.12201845430196,546445.761851615,459396.629909404,0.54624107951916,457430.162023135,0.5409112167208352,455482.88164294,0.5357343040430633
1.12201845430196,548356.293168371,457430.162023135,0.5409112167208352,455482.88164294,0.5357343040430633,453554.23814838496,0.5307031435433115
1.12201845430196,550249.2127661321,455482.88164294,0.5357343040430633,453554.23814838496,0.5307031435433115,451643.70683162904,0.5258109993780898
1.12201845430196,552124.998381975,453554.23814838496,0.5307031435433115,451643.70683162904,0.5258109993780898,449750.7872338679,0.5210515599563628
1.12201845430196,553984.106435659,451643.70683162904,0.5258109993780898,449750.7872338679,0.5210515599563628,447875.001618025,0.5164189038011117
1.12201845430196,555826.973322952,449750.7872338679,0.5210515599563628,447875.001618025,0.5164189038011117,446015.893564341,0.511907468692516
1.12201845430196,557654.0166083911,447875.001618025,0.5164189038011117,446015.893564341,0.511907468692516,444173.02667704795,0.5075120237330621
1.12201845430196,559465.636126837,446015.893564341,0.511907468692516,444173.02667704795,0.5075120237330621,442345.9833916089,0.5032276440127559
1.12201845430196,561262.2150021871,444173.02667704795,0.5075120237330621,442345.9833916089,0.5032276440127559,440534.363873163,0.49904968759724094
1.12201845430196,563044.120590718,442345.9833916089,0.5032276440127559,440534.363873163,0.49904968759724094,438737.78499781294,0.4949737745919265
1.12201845430196,564811.705355765,440534.363873163,0.49904968759724094,438737.78499781294,0.4949737745919265,436955.879409282,0.4909957680685976
1.12201845430196,566565.307679744,438737.78499781294,0.4949737745919265,436955.879409282,0.4909957680685976,435188.29464423505,0.4871117566608397
1.12201845430196,568305.252618934,436955.879409282,0.4909957680685976,435188.29464423505,0.4871117566608397,433434.692320256,0.4833180386639045
1.12201845430196,570031.8526058861,435188.29464423505,0.4871117566608397,433434.692320256,0.4833180386639045,431694.747381066,0.4796111074866753
1.12201845430196,571745.4081038621,433434.692320256,0.4833180386639045,431694.747381066,0.4796111074866753,429968.14739411394,0.47598763832667224
1.12201845430196,573446.20821727,431694.747381066,0.4796111074866753,429968.14739411394,0.47598763832667224,428254.5918961379,0.47244447594663747
1.12201845430196,575134.531261692,429968.14739411394,0.47598763832667224,428254.5918961379,0.47244447594663747,426553.79178273,0.4689786234505785
1.12201845430196,576810.645296771,428254.5918961379,0.47244447594663747,426553.79178273,0.4689786234505785,424865.46873830794,0.4655872319663629
1.12201845430196,578474.808624892,426553.79178273,0.4689786234505785,424865.46873830794,0.4655872319663629,423189.35470322904,0.46226759114474086
1.12201845430196,580127.2702583739,424865.46873830794,0.4655872319663629,423189.35470322904,0.46226759114474086,421525.19137510797,0.45901712041163895
1.12201845430196,581768.270357588,423189.35470322904,0.46226759114474086,421525.19137510797,0.45901712041163895,419872.72974162607,0.4558333608927852
1.12201845430196,583398.040642243,421525.19137510797,0.45901712041163895,419872.72974162607,0.4558333608927852,418231.72964241204,0.45271396795973284
1.12201845430196,585016.804777867,419872.72974162607,0.4558333608927852,418231.72964241204,0.45271396795973284,416601.959357757,0.4496567043400137
1.12201845430196,586624.778739326,418231.72964241204,0.45271396795973284,416601.959357757,0.4496567043400137,414983.19522213296,0.4466594337386131
